MIN=0	0	0	0
MAX=20	21.5443469003188	511	1574.34715789474
SCALE=20	5	100	500
DEC=1	0	0	1
DEF="Time" t / s	"Events" N_A	"Channel" n_A	"Energy" E_A / keV
0	0	0	-45.0387368421053
0.1	0	1	-41.8696842105264
0.199	0	2	-38.7006315789473
0.299	0	3	-35.5315789473684
0.4	0	4	-32.3625263157895
0.499	0	5	-29.1934736842106
0.6	0	6	-26.0244210526316
0.7	0	7	-22.8553684210526
0.8	1	8	-19.6863157894737
0.9	1	9	-16.5172631578948
0.999	0	10	-13.3482105263158
1.1	1	11	-10.1791578947369
1.199	0	12	-7.01010526315793
1.299	2	13	-3.84105263157892
1.399	1	14	-0.672000000000025
1.499	6	15	2.49705263157887
1.599	0	16	5.66610526315787
1.699	2	17	8.83515789473677
1.799	3	18	12.0042105263158
1.899	5	19	15.1732631578948
1.999	5	20	18.3423157894737
2.099	6	21	21.5113684210526
2.199	3	22	24.6804210526316
2.299	3	23	27.8494736842105
2.399	3	24	31.0185263157895
2.499	2	25	34.1875789473684
2.599	10	26	37.3566315789474
2.7	5	27	40.5256842105263
2.799	2	28	43.6947368421053
2.9	9	29	46.8637894736842
2.999	4	30	50.0328421052631
3.099	9	31	53.2018947368421
3.199	8	32	56.3709473684211
3.299	9	33	59.54
3.399	9	34	62.7090526315789
3.499	6	35	65.8781052631579
3.599	13	36	69.0471578947368
3.699	7	37	72.2162105263158
3.799	9	38	75.3852631578948
3.899	8	39	78.5543157894737
4	2	40	81.7233684210526
4.1	6	41	84.8924210526316
4.2	5	42	88.0614736842105
4.3	10	43	91.2305263157895
4.4	6	44	94.3995789473684
4.501	10	45	97.5686315789474
4.601	6	46	100.737684210526
4.7	6	47	103.906736842105
4.801	4	48	107.075789473684
4.9	9	49	110.244842105263
5	7	50	113.413894736842
5.1	5	51	116.582947368421
5.2	4	52	119.752
5.301	6	53	122.921052631579
5.4	8	54	126.090105263158
5.5	9	55	129.259157894737
5.6	9	56	132.428210526316
5.699	7	57	135.597263157895
5.799	1	58	138.766315789474
5.9	5	59	141.935368421053
5.999	2	60	145.104421052632
6.099	2	61	148.27347368421
6.199	5	62	151.442526315789
6.3	3	63	154.611578947368
6.399	5	64	157.780631578947
6.499	5	65	160.949684210526
6.6	0	66	164.118736842105
6.699	4	67	167.287789473684
6.799	3	68	170.456842105263
6.901	3	69	173.625894736842
7	3	70	176.794947368421
7.1	6	71	179.964
7.199	5	72	183.133052631579
7.299	5	73	186.302105263158
7.399	1	74	189.471157894737
7.499	3	75	192.640210526316
7.599	3	76	195.809263157895
7.7	5	77	198.978315789474
7.799	5	78	202.147368421053
7.899	3	79	205.316421052632
8	6	80	208.48547368421
8.1	1	81	211.65452631579
8.2	0	82	214.823578947368
8.3	2	83	217.992631578947
8.4	2	84	221.161684210526
8.5	3	85	224.330736842105
8.6	3	86	227.499789473684
8.7	5	87	230.668842105263
8.8	1	88	233.837894736842
8.901	2	89	237.006947368421
8.999	0	90	240.176
9.099	0	91	243.345052631579
9.199	1	92	246.514105263158
9.3	0	93	249.683157894737
9.4	0	94	252.852210526316
9.499	2	95	256.021263157895
9.599	1	96	259.190315789474
9.699	2	97	262.359368421053
9.799	2	98	265.528421052632
9.899	1	99	268.69747368421
9.999	3	100	271.866526315789
10.1	2	101	275.035578947368
10.2	1	102	278.204631578947
10.3	2	103	281.373684210526
10.4	1	104	284.542736842105
10.501	1	105	287.711789473684
10.601	1	106	290.880842105263
10.7	0	107	294.049894736842
10.8	2	108	297.218947368421
10.9	1	109	300.388
10.999	2	110	303.557052631579
11.099	0	111	306.726105263158
11.2	2	112	309.895157894737
11.299	1	113	313.064210526316
11.399	1	114	316.233263157895
11.499	1	115	319.402315789474
11.6	1	116	322.571368421053
11.699	1	117	325.740421052632
11.799	1	118	328.909473684211
11.899	0	119	332.078526315789
11.999	1	120	335.247578947368
12.099	2	121	338.416631578947
12.2	1	122	341.585684210526
12.299	1	123	344.754736842105
12.399	1	124	347.923789473684
12.5	1	125	351.092842105263
12.599	0	126	354.261894736842
12.699	3	127	357.430947368421
12.8	1	128	360.6
12.9	0	129	363.769052631579
13	0	130	366.938105263158
13.1	0	131	370.107157894737
13.2	0	132	373.276210526316
13.3	0	133	376.445263157895
13.4	0	134	379.614315789474
13.499	0	135	382.783368421053
13.599	1	136	385.952421052632
13.699	1	137	389.121473684211
13.799	0	138	392.290526315789
13.899	0	139	395.459578947368
13.999	0	140	398.628631578947
14.1	1	141	401.797684210526
14.201	1	142	404.966736842105
14.3	0	143	408.135789473684
14.399	0	144	411.304842105263
14.499	0	145	414.473894736842
14.6	0	146	417.642947368421
14.7	0	147	420.812
14.8	1	148	423.981052631579
14.9	0	149	427.150105263158
15	0	150	430.319157894737
15.1	0	151	433.488210526316
15.199	1	152	436.657263157895
15.299	0	153	439.826315789474
15.4	0	154	442.995368421053
15.499	0	155	446.164421052632
15.599	0	156	449.333473684211
15.699	0	157	452.502526315789
15.799	1	158	455.671578947368
15.9	0	159	458.840631578947
15.999	0	160	462.009684210526
16.099	0	161	465.178736842105
16.2	0	162	468.347789473684
16.3	0	163	471.516842105263
16.4	0	164	474.685894736842
16.501	1	165	477.854947368421
16.6	0	166	481.024
16.7	0	167	484.193052631579
16.801	0	168	487.362105263158
16.9	2	169	490.531157894737
17	0	170	493.700210526316
17.1	1	171	496.869263157895
17.2	0	172	500.038315789474
17.301	2	173	503.207368421053
17.399	0	174	506.376421052632
17.499	0	175	509.54547368421
17.602	1	176	512.71452631579
17.699	1	177	515.883578947368
