Voltage (V),	Deflection (mm), uncertainty
0.0,	22.0,  0.05
0.1,	16.0,  0.05
0.2,	10.1,  0.05
0.3,	5.0,   0.05
0.4,	1.7,   0.05
0.5,	-0.1,  0.05
0.6,	-0.9,  0.05
0.7,	-1.2,  0.05
0.8,	-1.3,  0.05
0.9,	-1.4,  0.05
1.0,	-1.4,  0.05
1.1,	-1.5,  0.05
1.2,	-1.5,  0.05
1.3,	-1.5,  0.05
1.4,	-1.5,  0.05
1.5,	-1.5,  0.05
1.6,	-1.5,  0.05
1.7,	-1.5,  0.05
1.8,	-1.5,  0.05
1.9,	-1.5,  0.05
2.0,	-1.5,  0.05
