"Data for Laboratory 1 Intermediate Experimental Physics I, A Gas Law and Absolute Zero",,,,
Date,9/3/15,,,
Data taken,David Mykytyn and Andrew Kent,,,
,,,,
Measurement #,Temperature (C) ,Pressure (lb/in^2),Estimated incertainty in pressure (lb/in^2),Terror
1,20,15.1,0.3,5
2,100,18.6,0.2,5
3,0,13.64,0.2,4
4,-80,10,0.6,10
5,-210,3.84,0.5,20
6,50,16.13,0.2,2
7,75,17.38,0.3,6
