"Data for Laboratory 1 Intermediate Experimental Physics I, A Gas Law and Absolute Zero",,,,
Date,9/23/15,,,
Data taken,Caspar Lant and Sam Meier,,,
,,,,
Measurement #,Pressure (kPa),Temperature (K) ,Estimated uncertainty in pressure (kPa),Terror
1,  99,293,2,5
2,  124.5,372,2,4
3,  93,277,2,1
4,  66.5,202,3,4
5,  30,77,2,10
