0.08,0.84,0.08
0.42,0.81,0.06
0.75,0.57,0.05
1.08,0.35,0.02
1.42,0.35,0.09
1.75,0.29,0.07
2.08,0.29,0.08
2.42,0.13,0.08
2.75,0.14,0.08
3.08,0.11,0.04
3.42,0.04,0.08
3.75,0.13,0.10
