Voltage, ChA, Run #1
Time ( s )	Voltage ( V )
0.0000	0.019
0.1000	0.017
0.2000	0.018
0.3000	0.017
0.4000	0.034
0.5000	0.121
0.6000	0.236
0.7000	0.268
0.8000	0.236
0.9000	0.252
1.0000	0.250
1.1000	0.232
1.2000	0.246
1.3000	0.226
1.4000	0.229
1.5000	0.231
1.6000	0.211
1.7000	0.211
1.8000	0.209
1.9000	0.197
2.0000	0.199
2.1000	0.181
2.2000	0.175
2.3000	0.173
2.4000	0.158
2.5000	0.156
2.6000	0.149
2.7000	0.137
2.8000	0.135
2.9000	0.124
3.0000	0.118
3.1000	0.111
3.2000	0.101
3.3000	0.096
3.4000	0.088
3.5000	0.081
3.6000	0.075
3.7000	0.070
3.8000	0.061
3.9000	0.056
4.0000	0.049
4.1000	0.045
4.2000	0.041
4.3000	0.034
4.4000	0.028
4.5000	0.025
4.6000	0.018
4.7000	0.016
4.8000	0.008
4.9000	0.005
5.0000	-0.001
5.1000	-0.005
5.2000	-0.010
5.3000	-0.015
5.4000	-0.020
5.5000	-0.025
5.6000	-0.030
5.7000	-0.035
5.8000	-0.041
5.9000	-0.044
6.0000	-0.051
6.1000	-0.058
6.2000	-0.061
6.3000	-0.067
6.4000	-0.074
6.5000	-0.077
6.6000	-0.083
6.7000	-0.091
6.8000	-0.094
6.9000	-0.102
7.0000	-0.110
7.1000	-0.114
7.2000	-0.117
7.3000	-0.122
7.4000	-0.130
7.5000	-0.137
7.6000	-0.139
7.7000	-0.147
7.8000	-0.152
7.9000	-0.155
8.0000	-0.161
8.1000	-0.165
8.2000	-0.165
8.3000	-0.170
8.4000	-0.178
8.5000	-0.182
8.6000	-0.180
8.7000	-0.183
8.8000	-0.188
8.9000	-0.186
9.0000	-0.188
9.1000	-0.191
9.2000	-0.188
9.3000	-0.188
9.4000	-0.192
9.5000	-0.191
9.6000	-0.189
9.7000	-0.188
9.8000	-0.186
9.9000	-0.184
10.0000	-0.182
10.1000	-0.181
10.2000	-0.177
10.3000	-0.169
10.4000	-0.171
10.5000	-0.169
10.6000	-0.163
10.7000	-0.158
10.8000	-0.155
10.9000	-0.150
11.0000	-0.148
11.1000	-0.141
11.2000	-0.137
11.3000	-0.132
11.4000	-0.126
11.5000	-0.124
11.6000	-0.117
11.7000	-0.111
11.8000	-0.108
11.9000	-0.100
12.0000	-0.098
12.1000	-0.090
12.2000	-0.084
12.3000	-0.078
12.4000	-0.075
12.5000	-0.070
12.6000	-0.064
12.7000	-0.060
12.8000	-0.056
12.9000	-0.049
13.0000	-0.045
13.1000	-0.040
13.2000	-0.037
13.3000	-0.032
13.4000	-0.028
13.5000	-0.021
13.6000	-0.019
13.7000	-0.012
13.8000	-0.010
13.9000	-0.002
14.0000	-0.001
14.1000	0.003
14.2000	0.007
14.3000	0.012
14.4000	0.015
14.5000	0.020
14.6000	0.023
14.7000	0.029
14.8000	0.031
14.9000	0.038
15.0000	0.042
15.1000	0.045
15.2000	0.049
15.3000	0.054
15.4000	0.062
15.5000	0.063
15.6000	0.064
15.7000	0.072
15.8000	0.074
15.9000	0.078
16.0000	0.083
16.1000	0.081
16.2000	0.087
16.3000	0.095
16.4000	0.094
16.5000	0.100
16.6000	0.104
16.7000	0.103
16.8000	0.107
16.9000	0.108
17.0000	0.113
17.1000	0.116
17.2000	0.116
17.3000	0.118
17.4000	0.121
17.5000	0.122
17.6000	0.121
17.7000	0.127
17.8000	0.126
17.9000	0.123
18.0000	0.127
18.1000	0.128
18.2000	0.127
18.3000	0.136
18.4000	0.128
18.5000	0.127
18.6000	0.131
18.7000	0.131
18.8000	0.127
18.9000	0.128
19.0000	0.128
19.1000	0.127
19.2000	0.119
19.3000	0.122
19.4000	0.124
19.5000	0.116
19.6000	0.112
19.7000	0.116
19.8000	0.112
19.9000	0.110
20.0000	0.106
20.1000	0.101
20.2000	0.100
20.3000	0.100
20.4000	0.092
20.5000	0.091
20.6000	0.089
20.7000	0.088
20.8000	0.081
20.9000	0.076
21.0000	0.077
21.1000	0.071
21.2000	0.065
21.3000	0.066
21.4000	0.062
21.5000	0.056
21.6000	0.049
21.7000	0.050
21.8000	0.046
21.9000	0.044
22.0000	0.039
22.1000	0.031
22.2000	0.029
