Light Intensity, Ch A vs Angular Position, Ch 1&2, Run #9
Angular Position, Ch 1&2 ( deg )	Light Intensity, Ch A ( % max )
725.7	0.0
729.7	0.0
733.8	0.0
738.0	0.0
742.2	0.0
746.3	0.0
750.0	0.0
753.5	0.0
757.0	0.0
760.7	0.0
764.7	0.0
769.0	0.0
773.5	0.0
778.3	0.0
783.0	0.0
787.5	0.0
792.2	0.0
796.7	0.0
801.3	0.0
805.8	0.0
810.0	0.0
814.3	0.0
818.3	0.0
822.5	0.0
826.8	0.0
831.5	0.0
836.3	0.0
841.0	0.0
845.8	0.0
850.3	0.0
854.8	0.0
859.0	-9.8E-4
863.5	0.0
867.8	0.0
871.8	0.0
875.5	0.0
879.3	0.0
882.8	0.1
886.0	0.4
889.3	0.8
892.3	1.0
895.3	1.2
898.5	1.1
902.0	0.9
905.3	0.6
908.7	0.4
912.2	0.3
915.8	0.2
919.0	0.1
922.3	0.1
925.5	0.0
929.0	0.0
932.3	0.0
936.0	0.0
939.5	0.0
943.0	0.0
946.5	0.0
950.0	0.0
953.7	0.0
957.3	0.0
961.0	0.0
964.7	0.0
968.5	0.0
972.3	0.0
976.2	0.0
980.3	0.0
984.3	0.0
988.3	0.0
992.5	0.0
996.5	0.0
1000.7	0.0
1004.8	0.0
1009.0	0.0
1012.8	0.0
1017.0	0.0
1021.0	0.0
1025.3	0.0
1029.5	0.0
1034.0	0.0
1038.3	0.0
1042.8	0.0
1047.3	0.0
1051.8	0.0
1056.3	0.0
1060.5	0.0
1065.0	0.0
1069.0	0.0
1073.0	0.0
1077.0	0.0
1081.0	0.0
1084.8	0.0
1088.7	0.0
1092.5	0.0
1096.5	0.0
1100.0	0.0
1103.5	0.0
1106.8	0.0
1109.8	0.0
1112.8	0.0
1115.8	0.0
1119.0	0.0
1122.3	0.0
1125.5	0.0
1129.0	0.0
1132.3	0.0
1135.8	0.0
1139.5	0.0
1143.0	0.0
1147.0	0.0
1150.8	0.0
1154.5	0.0
1158.3	0.0
1161.8	0.0
1165.3	0.0
1168.5	0.0
1172.0	0.0
1175.5	0.0
1179.3	0.0
1183.0	0.0
1186.5	0.0
1190.3	0.0
1193.8	0.0
1197.5	0.0
1200.8	0.0
1204.3	0.0
1208.0	0.0
1211.5	0.0
1215.0	0.0
1218.5	0.0
1221.7	0.0
1225.3	0.0
1228.8	0.0
1231.8	0.0
1235.0	0.0
1238.0	0.0
1240.8	0.0
1243.5	0.0
1246.3	0.0
1249.0	0.0
1251.8	0.0
1254.3	0.0
1257.0	0.0
1259.5	0.0
1262.0	0.0
1264.3	0.0
1266.5	0.0
1269.0	0.0
1271.3	0.0
1273.5	0.0
1276.0	0.0
1278.5	0.0
1281.0	0.0
1283.8	0.0
1286.3	0.0
1289.0	0.0
1291.5	0.0
1294.3	0.0
1296.8	0.0
1299.0	0.0
1301.5	0.0
1303.8	0.0
1305.8	0.0
1308.0	0.0
1310.3	0.0
1312.5	0.0
1314.7	0.0
1316.8	0.0
1319.0	0.0
1321.0	0.0
1323.0	0.0
1324.7	0.0
1326.8	0.0
1328.7	0.0
1330.7	0.0
1332.8	0.0
1335.0	0.0
1337.2	0.0
1339.5	0.0
1341.8	0.0
1344.0	0.0
1346.5	0.0
1348.8	0.0
1351.0	0.0
1353.5	0.0
1356.3	0.0
1358.8	0.0
1361.3	0.0
1364.0	0.0
1366.8	0.0
1369.5	0.0
1372.3	0.0
1375.3	0.0
1378.5	0.0
1381.8	0.0
1385.0	0.0
1388.2	0.0
1391.8	0.0
1395.0	0.0
1398.2	0.0
1401.8	0.0
1405.3	0.0
1408.8	0.0
1412.2	0.0
1415.5	0.0
1418.5	0.0
1421.5	0.0
1424.8	0.0
1427.8	0.0
1430.8	0.0
1433.8	0.0
1436.8	0.0
1439.5	0.0
1442.5	0.0
1445.3	0.0
1448.2	0.0
1451.0	0.0
1454.0	0.0
1456.8	0.0
1459.5	0.0
1462.3	0.0
1465.3	0.0
1468.0	0.0
1470.8	0.0
1473.8	0.0
1476.5	0.0
1479.5	0.0
1482.5	0.0
1485.8	0.0
1488.8	-4.9E-4
1492.0	0.0
1495.0	0.0
1498.0	0.0
1501.0	0.0
1504.0	0.0
1507.3	0.0
1510.3	0.0
1513.2	0.0
1516.5	0.0
1519.5	0.0
1522.8	0.0
1526.0	0.0
1529.5	0.0
1532.8	0.0
1536.0	0.0
1539.5	0.0
1542.8	0.0
1546.0	0.0
1549.0	0.0
1552.3	0.0
1555.3	0.0
1558.5	0.0
1561.5	0.0
1564.8	0.0
1568.0	0.0
1571.3	0.0
1574.3	0.0
1577.2	0.0
1580.3	0.1
1583.0	0.1
1585.5	0.1
1588.3	0.2
1591.0	0.5
1593.8	1.7
1596.3	2.0
1598.8	2.0
1601.2	2.0
1603.5	2.0
1605.7	2.0
1608.0	2.0
1610.3	2.0
1612.5	2.0
1615.0	2.0
1617.3	2.0
1619.8	2.0
1622.2	2.0
1624.5	2.0
1627.0	1.6
1629.8	1.0
1632.3	0.6
1635.0	0.3
1638.0	0.1
1640.8	0.1
1643.8	0.1
1646.7	0.1
1650.0	0.0
1653.5	0.0
1656.8	0.0
1660.3	0.0
1663.5	0.0
1666.8	0.0
1669.5	0.0
1672.3	0.0
1674.8	0.0
1677.3	0.0
1679.5	0.0
1681.8	0.0
1684.3	0.0
1686.5	0.0
1688.8	0.0
1691.0	0.0
1693.2	0.0
1695.8	0.0
1698.0	0.0
1700.5	0.0
1703.3	0.0
1706.0	0.0
1708.7	0.0
1711.5	0.0
1714.2	0.0
1717.0	0.0
1719.8	0.0
1722.5	0.0
1725.3	0.0
1728.0	0.0
1730.7	0.0
1733.8	0.0
1736.5	0.0
1739.5	0.0
1742.3	8.5E-4
1745.3	0.0
1748.5	0.0
1751.5	9.8E-4
1754.5	0.0
1757.2	-4.9E-4
1760.2	0.0
1763.0	0.0
1765.8	0.0
1768.2	7.3E-4
1771.0	0.0
1773.8	0.0
1776.5	0.0
1779.3	0.0
1782.0	-6.1E-4
1784.8	-7.3E-4
1787.5	-8.5E-4
1790.3	0.0
1792.8	3.7E-4
1795.5	-3.7E-4
1798.0	0.0
1800.8	-9.8E-4
1803.2	0.0
1805.7	0.0
1808.5	4.9E-4
1811.0	0.0
1813.5	-7.3E-4
1816.0	0.0
1818.3	3.7E-4
1820.5	9.8E-4
1822.5	-3.7E-4
1824.5	6.1E-4
1826.2	0.0
1828.0	7.3E-4
1830.0	0.0
1832.0	0.0
1834.0	0.0
1836.0	0.0
1838.0	7.3E-4
1840.3	0.0
1842.3	-7.3E-4
1844.8	0.0
1847.0	0.0
1849.5	0.0
1851.8	0.0
1854.3	-7.3E-4
1856.5	0.0
1859.0	0.0
1861.5	0.0
1863.8	0.0
1865.7	0.0
1867.7	0.0
1869.5	0.0
1871.0	0.0
1872.5	0.0
1874.0	0.0
1875.3	0.0
1876.8	0.0
1878.3	0.0
1880.0	0.0
1881.5	0.0
1883.5	0.0
1885.2	0.0
1887.2	0.0
1889.5	0.0
1891.8	0.0
1894.0	0.0
1896.2	0.0
1899.0	0.0
1901.5	0.0
1904.0	0.0
1906.8	0.0
1909.3	0.0
1911.8	0.0
1914.0	0.0
1916.5	0.0
1919.0	0.0
1921.5	0.0
1924.3	0.0
1926.8	0.0
1929.5	0.0
1932.2	0.0
1934.8	0.0
1937.2	0.0
1939.8	0.0
1942.3	0.0
1944.5	0.0
1946.5	0.0
1948.8	0.0
1950.8	0.0
1952.8	0.0
1954.8	0.0
1956.8	0.0
1958.7	0.0
1960.7	0.0
1962.8	0.0
1965.0	0.0
1967.0	0.0
1968.8	0.0
1970.8	0.0
1972.8	0.0
1974.7	0.0
1976.8	0.0
1978.8	0.0
1980.7	0.0
1982.5	0.0
1984.5	0.0
1986.2	0.0
1988.0	0.0
1989.8	0.0
1991.3	0.0
1992.8	0.0
1994.0	0.0
1995.5	0.0
1996.8	0.0
1998.3	0.0
1999.8	0.0
2001.2	0.0
2002.7	0.0
2004.5	0.0
2006.2	0.0
2007.8	0.0
2009.5	0.0
2011.0	0.0
2012.7	0.0
2014.2	0.0
2015.7	0.0
2017.2	0.0
2018.8	0.0
2020.2	0.0
2021.7	0.0
2022.8	0.0
2024.0	0.0
2025.0	0.0
2025.7	0.0
2026.8	0.0
2027.8	0.0
2028.7	0.0
2029.7	0.0
2031.0	0.0
2032.0	0.0
2033.0	0.0
2034.0	0.0
2035.0	0.0
2036.0	0.0
2036.7	0.0
2037.7	0.0
2038.7	0.0
2039.5	0.0
2040.5	0.0
2041.3	0.0
2042.3	0.0
2043.0	0.0
2043.8	0.0
2044.7	0.0
2045.7	0.0
2046.8	0.0
2048.0	0.0
2049.0	0.0
2050.3	0.0
2051.5	0.0
2053.0	0.0
2054.3	0.0
2055.7	0.0
2057.2	0.0
2058.7	0.0
2060.2	0.0
2061.7	0.0
2063.5	0.0
2065.2	0.0
2066.7	0.0
2068.5	0.0
2070.3	0.0
2072.0	0.0
2073.7	0.0
2075.5	0.0
2077.5	0.0
2079.5	0.0
2081.8	0.0
2084.0	0.0
2086.3	0.0
2088.7	0.0
2091.2	0.0
2093.5	0.0
2096.0	0.0
2098.2	0.0
2100.5	0.0
2103.0	0.0
2105.5	0.0
2108.2	0.0
2111.2	0.0
2114.0	0.0
2116.8	0.0
2119.2	0.0
2121.7	0.0
2124.2	0.0
2126.5	0.0
2128.5	0.0
2130.7	0.0
2132.8	0.0
2134.7	0.0
2136.8	0.0
2138.7	0.0
2141.0	0.0
2143.2	0.0
2145.7	0.0
2148.0	0.0
2150.5	0.0
2153.2	0.0
2155.7	0.0
2158.5	0.0
2161.2	0.0
2164.2	0.0
2167.0	0.0
2169.7	0.0
2172.5	0.0
2175.5	0.0
2178.2	0.0
2181.2	0.0
2184.2	0.0
2186.7	0.0
2189.3	0.0
2191.5	0.0
2193.7	0.0
2195.7	0.0
2197.7	0.0
2200.0	0.0
2202.0	0.0
2204.2	0.0
2206.2	0.0
2208.5	0.0
2210.7	0.0
2213.0	0.0
2215.5	0.0
2218.0	0.0
2220.5	0.0
2222.7	0.0
2225.5	0.0
2228.0	0.0
2230.7	0.0
2233.5	0.0
2236.2	0.0
2239.3	0.0
2242.0	0.0
2245.0	0.0
2248.0	0.0
2251.0	0.0
2253.8	0.0
2256.5	0.0
2259.3	0.0
2261.8	0.0
2264.2	0.0
2266.7	0.0
2269.3	0.0
2271.7	0.0
2274.2	0.0
2276.8	0.0
2279.3	0.0
2281.8	0.0
2284.2	0.0
2286.7	0.0
2289.0	0.0
2291.5	0.0
2293.8	0.0
2296.0	0.0
2298.2	0.0
2300.3	0.0
2302.5	0.0
2304.5	0.0
2306.5	0.0
2308.3	0.0
2310.0	0.0
2311.7	0.0
2313.2	0.0
2314.7	0.0
2316.0	0.0
2317.5	7.3E-4
2319.0	-9.8E-4
2320.5	0.0
2322.0	0.0
2323.5	0.0
2324.7	0.0
2326.0	0.0
2327.3	0.0
2328.5	0.0
2329.5	0.0
2330.5	0.0
2331.8	0.0
2332.7	0.0
2333.7	0.0
2334.7	0.0
2335.7	0.0
2337.0	0.1
2338.0	0.1
2339.3	0.1
2340.3	0.2
2341.5	0.2
2342.7	0.2
2344.0	0.3
2345.5	0.3
2346.7	0.4
2348.5	0.3
2350.0	0.3
2351.5	0.4
2353.0	0.4
2354.5	0.4
2356.0	0.4
2357.5	0.3
2358.7	0.4
2360.2	0.4
2361.5	0.4
2362.8	0.3
2364.3	0.3
2365.7	0.4
2367.2	0.3
2368.7	0.3
2370.2	0.3
2371.5	0.3
2373.0	0.3
2374.5	0.2
2375.7	0.2
2377.2	0.2
2378.8	0.2
2380.0	0.2
2381.5	0.1
2383.0	0.1
2384.3	0.1
2385.7	0.1
2387.0	0.1
2388.5	0.1
2389.8	0.0
2391.3	0.0
2392.5	0.0
2394.0	0.0
2395.2	0.0
2396.2	0.0
2397.5	0.0
2398.5	0.0
2399.7	0.0
2400.7	0.0
2402.0	0.0
2403.2	0.0
2404.5	0.0
2405.7	0.0
2407.2	0.0
2409.0	0.0
2410.5	0.0
2412.2	0.0
2414.0	0.0
2415.7	0.0
2417.5	0.0
2419.3	0.0
2421.0	0.0
2422.7	0.0
2424.5	0.0
2426.2	0.0
2427.7	0.0
2429.5	0.0
2431.0	0.0
2432.7	0.0
2434.2	0.0
2435.7	0.0
2437.2	0.0
2438.7	0.0
2440.5	0.0
2442.2	0.0
2443.7	0.0
2445.5	0.0
2447.0	0.0
2448.5	0.0
2449.7	0.0
2451.2	0.0
2452.5	0.0
2453.8	0.0
2455.0	0.0
2456.5	0.0
2457.7	0.0
2459.2	0.0
2460.5	0.0
2462.0	0.0
2463.7	0.0
2465.5	0.0
2467.2	0.0
2469.0	0.0
2471.0	0.0
2473.2	0.0
2475.2	0.0
2477.3	0.0
2479.0	0.0
2481.0	0.0
2483.0	0.0
2484.7	0.0
2486.7	0.0
2488.5	0.0
2490.5	0.0
2492.5	0.0
2494.2	0.0
2496.2	0.0
2498.2	0.0
2500.0	0.0
2501.8	0.0
2503.2	0.0
2504.7	0.0
2506.2	0.0
2507.8	0.0
2509.5	0.0
2511.2	0.0
2513.5	0.0
2515.7	0.0
2518.2	0.0
2520.7	0.0
2523.2	0.0
2525.5	0.0
2527.8	0.0
2529.5	0.0
2531.2	0.0
2532.7	0.0
2534.2	0.0
2535.5	0.0
2536.7	0.0
2537.7	0.0
2538.7	0.0
2539.5	0.0
2540.2	0.0
2541.3	0.0
2541.7	0.0
2542.3	0.0
2543.0	0.0
2543.5	0.0
2544.3	0.0
2545.0	0.0
2545.7	0.0
2546.8	0.0
2548.0	0.0
2549.2	0.0
2550.5	0.0
2552.0	0.0
2553.5	0.0
2554.7	0.0
2556.2	0.0
2557.7	0.0
2559.0	0.0
2560.0	0.0
2561.0	0.0
2562.0	0.0
2563.0	0.0
2563.7	0.0
2564.7	0.0
2566.0	0.0
2567.0	0.0
2568.2	0.0
2569.5	0.0
2570.7	0.0
2572.0	0.0
2573.2	0.0
2574.8	0.0
2576.0	0.0
2577.5	0.0
2578.8	0.0
2580.2	0.0
2581.5	0.0
2583.0	0.0
2584.2	0.0
2585.7	0.0
2587.2	0.0
2588.7	0.0
2590.2	0.0
2591.8	0.0
2593.2	0.0
2594.5	0.0
2596.0	0.0
2597.5	0.0
2598.7	0.0
2600.2	0.0
2601.5	0.0
2603.0	0.0
2604.5	0.0
2606.3	0.0
2607.7	0.0
2609.3	0.0
2610.7	0.0
2612.3	0.0
2613.7	0.0
2614.7	0.0
2616.2	0.0
2617.5	0.0
2618.7	0.0
2620.0	0.0
2621.2	0.0
2622.5	0.0
2623.8	0.0
2625.2	0.0
2626.8	0.0
2628.5	0.0
2630.2	0.0
2632.0	0.0
2633.7	0.0
2635.5	0.0
2637.5	0.0
2639.2	0.0
2641.0	0.0
2642.7	0.0
2644.8	0.0
2646.7	0.0
2648.8	0.0
2650.7	0.0
2652.5	0.0
2654.5	0.0
2656.0	0.0
2657.7	0.0
2659.8	0.0
2661.7	0.0
2663.7	0.0
2665.7	0.0
2667.7	0.0
2670.0	0.0
2672.0	0.0
2674.0	0.0
2676.2	-4.9E-4
2678.5	0.0
2681.0	0.0
2683.3	0.0
2685.7	6.1E-4
2688.0	0.0
2690.5	0.0
2692.7	0.0
2695.5	0.0
2697.7	-7.3E-4
2700.2	0.0
2703.0	0.0
2705.5	0.0
2708.0	0.0
2710.5	0.0
2712.7	0.0
2715.5	0.0
2718.0	0.0
2720.7	0.0
2723.7	0.0
2726.7	0.0
